"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Jones, Nolan",666134,2022,24,86,94,14,5,0,2,31,8,33,8.5,".244",".372",".309","0.681","0.128",".358","0","0","0","1","0",".297","28.1"
"Henderson, Gunnar",683002,2022,21,116,132,18,7,1,4,34,16,25.8,12.1,".259",".440",".348","0.788","0.181",".333","1","1","0","1","0",".343","29.0"
"Pham, Tommy",502054,2022,34,554,622,90,23,1,17,167,56,26.8,9,".236",".374",".312","0.686","0.138",".304","3","8","7","0","5",".304","27.9"
"Meyers, Jake",676694,2022,26,150,160,25,6,2,1,54,7,33.8,4.4,".227",".313",".269","0.582","0.086",".344","1","2","2","0","1",".258","28.9"
"O'Hoppe, Logan",681351,2022,22,14,16,4,0,0,0,3,2,18.8,12.5,".286",".286",".375","0.661","0.000",".364","0","0","0","0","0",".307","26.7"
"Hall, Darick",669742,2022,26,136,142,16,8,1,9,44,5,31,3.5,".250",".522",".282","0.804","0.272",".301","0","0","1","0","0",".343","26.3"
"Andrus, Elvis",462101,2022,33,535,577,84,32,0,17,92,39,15.9,6.8,".249",".404",".303","0.707","0.155",".272","4","18","3","0","0",".310","26.1"
"Lagares, Juan",501571,2022,33,60,62,8,2,1,0,15,2,24.2,3.2,".183",".250",".210","0.460","0.067",".244","0","0","0","0","0",".203","27.5"
"Gutiérrez, Kelvin",642721,2022,27,28,33,3,1,0,0,8,4,24.2,12.1,".143",".179",".250","0.429","0.036",".200","0","1","0","0","0",".208","28.2"
"Lavastida, Bryan",681526,2022,23,12,15,1,0,0,0,4,3,26.7,20,".083",".083",".267","0.350","0.000",".125","0","0","0","0","0",".197","25.7"
"Alvarez, Francisco",682626,2022,20,12,14,0,1,0,1,4,2,28.6,14.3,".167",".500",".286","0.786","0.333",".143","0","0","0","0","0",".336","25.3"
"Garlick, Kyle",664247,2022,30,150,162,23,3,0,9,48,8,29.6,4.9,".233",".433",".284","0.717","0.200",".277","0","0","3","0","1",".311","26.8"
"Hilliard, Sam",656541,2022,28,174,200,23,6,1,2,57,23,28.5,11.5,".184",".264",".280","0.544","0.080",".256","1","5","1","0","2",".251","28.7"
"Dixon, Brandon",641525,2022,30,14,14,2,1,0,0,5,0,35.7,0,".214",".286",".214","0.500","0.072",".333","0","0","0","0","0",".216",
"Lux, Gavin",666158,2022,24,421,471,83,20,7,6,95,47,20.2,10,".276",".399",".346","0.745","0.123",".341","2","7","0","0","3",".328","28.8"
"Engel, Adam",641553,2022,30,245,260,39,13,1,2,76,11,29.2,4.2,".224",".310",".269","0.579","0.086",".317","4","12","4","1","0",".256","29.1"
"Hiura, Keston",669374,2022,25,234,266,30,8,1,14,111,23,41.7,8.6,".226",".449",".316","0.765","0.223",".355","2","5","8","0","1",".334","27.5"
"Tucker, Cole",657061,2022,25,63,63,9,1,1,0,25,0,39.7,0,".175",".222",".175","0.397","0.047",".289","0","1","0","0","0",".172","27.7"
"Piscotty, Stephen",572039,2022,31,126,139,15,4,0,5,48,9,34.5,6.5,".190",".341",".252","0.593","0.151",".253","0","2","2","1","2",".258","25.2"
"Contreras, William",661388,2022,24,334,376,58,14,1,20,104,39,27.7,10.4,".278",".506",".354","0.860","0.228",".344","0","2","1","1","2",".370","27.0"
"Witt Jr., Bobby",677951,2022,22,591,632,93,31,6,20,135,30,21.4,4.7,".254",".428",".294","0.722","0.174",".295","7","30","6","2","5",".311","30.3"
"Turner, Justin",457759,2022,37,468,532,81,36,0,13,89,50,16.7,9.4,".278",".438",".350","0.788","0.160",".313","0","3","6","1","8",".343","25.0"
