"last_name, first_name","player_id","year","player_age","pa","single","double","triple","home_run","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_intent_walk","b_sac_fly","woba"
"Garcia, Aramis",605244,2022,29,115,20,2,0,1,3,29.6,2.6,".213",".259",".248","0.507","0.046",".301","0","0",".228"
"Kirk, Alejandro",672386,2021,22,189,24,8,0,8,19,11.6,10.1,".242",".436",".328","0.764","0.194",".234","0","2",".330"
"Solano, Donovan",456781,2020,32,203,43,15,1,3,10,19.2,4.9,".326",".463",".365","0.828","0.137",".396","0","1",".357"
"Rendon, Anthony",543685,2020,30,232,33,11,1,9,38,13.4,16.4,".286",".497",".418","0.915","0.211",".302","2","0",".395"
"Garcia, Leury",544725,2021,30,474,80,22,4,5,41,20.5,8.6,".267",".376",".335","0.711","0.109",".333","0","5",".312"
"Seager, Kyle",572122,2020,32,248,28,12,0,9,32,13.3,12.9,".241",".433",".355","0.788","0.192",".240","3","6",".338"
"Marte, Starling",516782,2020,31,250,43,14,1,6,12,16.4,4.8,".281",".430",".340","0.770","0.149",".319","1","1",".333"
"Story, Trevor",596115,2021,28,595,69,34,5,24,53,23.4,8.9,".251",".471",".329","0.800","0.220",".293","2","5",".341"
"Duggar, Steven",621453,2021,27,297,42,14,5,8,27,29.6,9.1,".257",".437",".330","0.767","0.180",".355","3","0",".327"
"Solak, Nick",669256,2020,25,233,44,10,0,2,18,18,7.7,".268",".344",".326","0.670","0.076",".320","0","4",".297"
"Hayes, Ke'Bryan",663647,2020,23,95,18,7,2,5,9,21.1,9.5,".376",".682",".442","1.124","0.306",".450","2","0",".464"
"Gordon, Nick",624503,2022,26,443,69,28,4,9,19,23.7,4.3,".272",".427",".316","0.743","0.155",".340","1","6",".321"
"Kiner-Falefa, Isiah",643396,2022,27,531,102,20,0,4,35,13.6,6.6,".261",".327",".314","0.641","0.066",".296","2","5",".285"
"Gamel, Ben",592325,2022,30,423,55,20,2,9,48,23.2,11.3,".232",".369",".324","0.693","0.137",".291","2","1",".308"
"Ramos, Wilson",467092,2021,33,163,18,5,0,8,9,22.1,5.5,".205",".397",".248","0.645","0.192",".213","0","1",".275"
"Andrus, Elvis",462101,2022,33,577,84,32,0,17,39,15.9,6.8,".249",".404",".303","0.707","0.155",".272","0","0",".310"
"Jeffers, Ryan",680777,2022,25,236,26,10,1,7,23,26.3,9.7,".208",".363",".285","0.648","0.155",".259","0","0",".287"
"Olivares, Edward",658668,2022,26,174,34,8,0,4,10,20.7,5.7,".286",".410",".333","0.743","0.124",".344","0","1",".326"
"Carpenter, Matt",572761,2022,36,154,15,9,0,15,19,22.7,12.3,".305",".727",".412","1.139","0.422",".304","1","1",".472"
"Panik, Joe",605412,2021,30,257,37,9,0,3,17,13.2,6.6,".208",".284",".266","0.550","0.076",".230","1","1",".244"
"Hiura, Keston",669374,2021,24,197,15,9,1,4,14,39.1,7.1,".168",".301",".256","0.557","0.133",".269","0","1",".250"
"Pratto, Nick",668472,2022,23,182,12,9,1,7,19,36.3,10.4,".184",".386",".271","0.657","0.202",".250","0","3",".287"
"Brosseau, Mike",670712,2021,27,169,14,9,0,5,15,31.4,8.9,".187",".347",".266","0.613","0.160",".245","0","2",".268"
"Choi, Ji Man",596847,2020,29,145,12,13,0,3,20,24.8,13.8,".230",".410",".331","0.741","0.180",".291","2","3",".316"
"Muncy, Max",571970,2022,31,565,47,22,1,21,90,25,15.9,".196",".384",".329","0.713","0.188",".227","1","6",".318"
"Cave, Jake",595909,2020,27,123,16,3,2,4,5,35.8,4.1,".221",".389",".285","0.674","0.168",".323","0","0",".293"
"Park, Hoy",660829,2021,25,150,15,5,2,3,18,25.3,12,".195",".336",".297","0.633","0.141",".250","1","1",".279"
"Bell, Josh",605137,2020,27,223,33,3,0,8,22,26.5,9.9,".226",".364",".305","0.669","0.138",".273","4","4",".286"
"Varsho, Daulton",662139,2020,23,115,9,5,2,3,12,28.7,10.4,".188",".366",".287","0.653","0.178",".246","0","0",".287"
"Calhoun, Willie",641432,2022,27,62,3,3,0,1,9,12.9,14.5,".135",".250",".274","0.524","0.115",".140","0","0",".249"
"Acuña Jr., Ronald",660670,2022,24,533,85,24,0,15,53,23.6,9.9,".266",".413",".351","0.764","0.147",".331","4","3",".335"
"Mathias, Mark",664029,2022,27,91,11,3,0,6,9,33,9.9,".247",".506",".319","0.825","0.259",".304","0","1",".353"
"Freeman, Tyler",671289,2022,23,86,16,3,0,0,4,12.8,4.7,".247",".286",".314","0.600","0.039",".284","0","1",".274"
"Wong, Kolten",543939,2022,31,497,65,24,4,15,46,17.7,9.3,".251",".430",".339","0.769","0.179",".280","2","5",".336"
"Belt, Brandon",474832,2022,34,298,36,9,1,8,37,27.2,12.4,".213",".350",".326","0.676","0.137",".277","2","1",".303"
"Marte, Starling",516782,2021,32,526,103,27,3,12,43,18.8,8.2,".310",".458",".383","0.841","0.148",".372","2","2",".364"
"Chang, Yu",644374,2021,25,251,28,14,3,9,11,27.5,4.4,".228",".426",".267","0.693","0.198",".281","0","1",".294"
"Olson, Matt",621566,2020,26,245,22,4,1,14,34,31.4,13.9,".195",".424",".310","0.734","0.229",".227","2","0",".316"
"Heim, Jonah",641680,2022,27,450,55,20,1,16,41,19.3,9.1,".227",".399",".298","0.697","0.172",".249","0","2",".306"
"Cervelli, Francisco",465041,2020,34,62,8,2,0,3,8,22.6,12.9,".245",".453",".355","0.808","0.208",".278","0","0",".351"
"Stassi, Max",545358,2022,31,375,38,12,1,9,38,29.9,10.1,".180",".303",".267","0.570","0.123",".239","0","1",".258"
"Dickerson, Alex",543105,2020,30,170,24,10,1,10,16,17.6,9.4,".298",".576",".371","0.947","0.278",".313","2","1",".394"
"Upton, Justin",457708,2022,34,57,4,1,0,1,6,40.4,10.5,".125",".208",".263","0.471","0.083",".208","0","0",".231"
"Trammell, Taylor",666211,2021,23,178,10,7,0,8,17,42.1,9.6,".160",".359",".256","0.615","0.199",".233","0","0",".270"
"Verdugo, Alex",657077,2022,26,644,115,39,1,11,42,13.4,6.5,".280",".405",".328","0.733","0.125",".309","2","6",".319"
"Adell, Jo",666176,2021,22,140,21,5,2,4,8,22.9,5.7,".246",".408",".295","0.703","0.162",".298","0","0",".303"
"Campusano, Luis",669134,2022,23,50,10,1,0,1,1,22,2,".250",".333",".260","0.593","0.083",".297","0","1",".257"
"Beer, Seth",666179,2022,25,126,17,3,0,1,11,24.6,8.7,".189",".243",".278","0.521","0.054",".250","1","1",".239"
"Wynns, Austin",642851,2022,31,177,32,7,0,3,10,21.5,5.6,".259",".358",".313","0.671","0.099",".320","0","1",".298"
"Guillorme, Luis",641645,2022,27,335,66,12,1,2,34,13.7,10.1,".273",".340",".351","0.691","0.067",".317","1","0",".311"
"Villar, Jonathan",542340,2021,30,505,75,18,2,18,46,26.1,9.1,".249",".416",".322","0.738","0.167",".313","2","0",".320"
"Sánchez, Jesús",660821,2021,23,251,33,8,2,14,20,31.1,8,".251",".489",".319","0.808","0.238",".316","3","1",".339"
"Mercedes, Yermín",606213,2022,29,83,11,5,0,1,9,20.5,10.8,".233",".342",".325","0.667","0.109",".291","0","0",".301"
"Panik, Joe",605412,2020,29,141,20,6,0,1,20,19.1,14.2,".225",".300",".340","0.640","0.075",".283","0","0",".296"
"Holt, Brock",571788,2020,32,106,14,6,0,0,9,22.6,8.5,".211",".274",".283","0.557","0.063",".278","0","1",".253"
"Sánchez, Jesús",660821,2022,24,343,37,14,3,13,26,26.8,7.6,".214",".403",".280","0.683","0.189",".258","0","1",".298"
"Peraza, José",606299,2021,27,154,16,7,0,6,9,16.9,5.8,".204",".380",".266","0.646","0.176",".209","0","0",".280"
"Franco, Maikel",596748,2020,27,243,38,16,0,8,16,15.6,6.6,".278",".457",".321","0.778","0.179",".298","1","4",".329"
"Peterson, Jace",607054,2020,30,61,6,1,0,2,15,32.8,24.6,".200",".356",".393","0.749","0.156",".292","0","1",".344"
"Marte, Ketel",606466,2022,28,558,62,42,2,12,55,18.1,9.9,".240",".407",".321","0.728","0.167",".276","3","5",".317"
"Daza, Yonathan",602074,2021,27,331,69,12,2,2,21,18.1,6.3,".282",".355",".332","0.687","0.073",".346","0","1",".304"
"Strange-Gordon, Dee",543829,2020,32,82,14,1,0,0,5,15.9,6.1,".200",".213",".268","0.481","0.013",".242","0","0",".226"
"Chisholm Jr., Jazz",665862,2020,22,62,5,1,1,2,5,30.6,8.1,".161",".321",".242","0.563","0.160",".200","0","0",".248"
"Ortega, Rafael",542364,2022,31,371,54,14,1,7,44,19.9,11.9,".241",".358",".331","0.689","0.117",".285","2","7",".305"
"Abreu, José",547989,2020,33,262,42,15,0,19,18,22.5,6.9,".317",".617",".370","0.987","0.300",".350","1","1",".411"
"Rios, Edwin",621458,2022,28,92,13,1,0,7,5,39.1,5.4,".244",".500",".293","0.793","0.256",".326","1","0",".338"
"Burleson, Alec",676475,2022,23,53,7,1,0,1,5,17,9.4,".188",".271",".264","0.535","0.083",".211","0","0",".245"
"Rengifo, Luis",650859,2020,23,106,12,1,0,1,14,24.5,13.2,".156",".200",".269","0.469","0.044",".206","0","0",".227"
"Donaldson, Josh",518626,2022,36,546,63,28,0,15,54,27.1,9.9,".222",".374",".308","0.682","0.152",".283","1","6",".302"
"Molina, Yadier",425877,2022,39,270,43,8,0,5,5,14.8,1.9,".214",".302",".233","0.535","0.088",".234","0","1",".235"
"Garlick, Kyle",664247,2021,29,107,10,8,0,5,6,29.9,5.6,".232",".465",".280","0.745","0.233",".286","0","1",".314"
"Moniak, Mickey",666160,2022,24,112,11,3,1,3,4,39.3,3.6,".170",".302",".207","0.509","0.132",".254","0","0",".223"
"Naquin, Tyler",571980,2022,31,334,37,19,4,11,19,27.8,5.7,".229",".423",".282","0.705","0.194",".291","2","0",".303"
"Verdugo, Alex",657077,2021,25,604,110,32,2,13,51,15.9,8.4,".289",".426",".351","0.777","0.137",".327","6","5",".334"
"Araúz, Jonathan",660620,2021,22,75,6,3,0,3,8,20,10.7,".185",".369",".274","0.643","0.184",".191","0","0",".282"
"Gallagher, Cam",595956,2020,27,60,9,5,0,1,6,18.3,10,".283",".434",".356","0.790","0.151",".341","0","0",".344"
"Kelly, Carson",608348,2022,27,354,42,18,0,7,29,20.1,8.2,".211",".334",".282","0.616","0.123",".247","0","4",".275"
"Chapman, Matt",656305,2022,29,621,68,27,1,27,68,27.4,11,".229",".433",".324","0.757","0.204",".277","1","5",".331"
"Brown, Seth",664913,2021,28,307,26,13,1,20,23,29,7.5,".214",".480",".274","0.754","0.266",".230","2","2",".315"
"Taveras, Leody",665750,2020,21,134,16,6,1,4,14,32.1,10.4,".227",".395",".308","0.703","0.168",".319","0","0",".307"
"Giménez, Andrés",665926,2021,22,210,26,10,0,5,11,25.7,5.2,".218",".351",".282","0.633","0.133",".273","0","3",".277"
"Robertson, Daniel",621002,2021,27,90,8,2,0,2,12,31.1,13.3,".164",".274",".303","0.577","0.110",".227","1","1",".265"
"Reddick, Josh",502210,2020,33,210,30,11,1,4,20,20,9.5,".245",".378",".316","0.694","0.133",".294","0","1",".304"
"Thomas, Alek",677950,2022,22,411,62,17,1,8,22,18,5.4,".231",".344",".275","0.619","0.113",".263","0","5",".272"
"McNeil, Jeff",643446,2021,29,426,70,19,1,7,29,13.6,6.8,".251",".360",".319","0.679","0.109",".280","0","1",".301"
"Jankowski, Travis",608671,2022,31,64,9,0,0,0,8,15.6,12.5,".164",".164",".281","0.445","0.000",".200","0","0",".222"
"Olson, Matt",621566,2022,28,699,70,44,0,34,75,24.3,10.7,".240",".477",".325","0.802","0.237",".274","6","4",".344"
"Nootbaar, Lars",663457,2021,23,124,17,3,1,5,13,22.6,10.5,".239",".422",".317","0.739","0.183",".273","1","1",".316"
"Biggio, Cavan",624415,2022,27,303,27,18,1,6,38,28.1,12.5,".202",".350",".318","0.668","0.148",".275","0","1",".302"
"Lindor, Francisco",596019,2022,28,706,114,25,5,26,59,18.8,8.4,".270",".449",".339","0.788","0.179",".301","2","7",".342"
"Plawecki, Kevin",608700,2021,30,173,35,7,0,3,12,15,6.9,".287",".389",".349","0.738","0.102",".328","0","0",".325"
"Rodgers, Brendan",663898,2022,25,581,94,30,3,13,46,17.4,7.9,".266",".408",".325","0.733","0.142",".304","0","5",".321"
"Toro, Abraham",647351,2021,24,375,57,12,0,11,31,14.4,8.3,".239",".373",".315","0.688","0.134",".254","0","2",".303"
"Chirinos, Robinson",455139,2022,38,220,22,9,0,4,19,30.5,8.6,".179",".287",".265","0.552","0.108",".248","0","1",".251"
"Grissom, Vaughn",687093,2022,21,156,30,6,0,5,11,21.8,7.1,".291",".440",".353","0.793","0.149",".350","1","1",".345"
"Castro, Jason",488771,2020,33,92,4,9,0,2,12,35.9,13,".188",".375",".293","0.668","0.187",".289","0","0",".294"
"Leyba, Domingo",642736,2021,25,96,8,1,0,1,8,24,8.3,".115",".161",".198","0.359","0.046",".143","0","0",".172"
"Brosseau, Mike",670712,2020,26,98,15,5,1,5,8,31.6,8.2,".302",".558",".378","0.936","0.256",".412","0","1",".394"
"Taylor, Michael A.",572191,2022,31,456,83,10,3,9,35,23.9,7.7,".254",".357",".313","0.670","0.103",".321","0","3",".297"
"McKinstry, Zach",656716,2021,26,172,18,9,0,7,10,29.1,5.8,".215",".405",".263","0.668","0.190",".262","1","2",".282"
"Miller, Brad",543543,2021,31,377,43,9,3,20,45,29.7,11.9,".227",".453",".321","0.774","0.226",".276","2","0",".331"
"Candelario, Jeimer",600869,2021,27,626,90,42,3,16,65,21.6,10.4,".271",".443",".351","0.794","0.172",".333","1","0",".344"
"Villar, Jonathan",542340,2022,31,220,31,6,2,3,15,26.8,6.8,".208",".302",".260","0.562","0.094",".275","0","2",".250"
"Trevino, Jose",624431,2022,29,353,59,12,1,11,15,17.6,4.2,".248",".388",".283","0.671","0.140",".274","0","1",".293"
"Albies, Ozzie",645277,2022,25,269,37,16,0,8,16,17.5,5.9,".247",".409",".294","0.703","0.162",".270","0","4",".305"
"Ohtani, Shohei",660271,2020,25,175,16,6,0,7,22,28.6,12.6,".190",".366",".291","0.657","0.176",".229","0","0",".290"
"Rojas, Josh",668942,2020,26,70,11,0,0,0,7,22.9,10,".180",".180",".257","0.437","0.000",".234","0","2",".209"
"Castro, Willi",650489,2022,25,392,60,18,2,8,15,20.9,3.8,".241",".367",".284","0.651","0.126",".288","0","3",".285"
"Cron, C.J.",543068,2021,31,547,72,31,1,28,60,21.4,11,".281",".530",".375","0.905","0.249",".316","3","4",".383"
"Dubón, Mauricio",643289,2020,25,177,34,4,1,4,15,20.3,8.5,".274",".389",".337","0.726","0.115",".328","0","2",".318"
"Ruiz, Keibert",660688,2022,23,433,70,22,0,7,30,11.5,6.9,".251",".360",".313","0.673","0.109",".271","0","2",".299"
"Nimmo, Brandon",607043,2022,29,673,106,30,7,16,71,17.2,10.5,".274",".433",".367","0.800","0.159",".317","0","3",".353"
"Murphy, Sean",669221,2021,26,448,45,23,0,17,40,25.4,8.9,".216",".405",".306","0.711","0.189",".257","0","3",".309"
"Plawecki, Kevin",608700,2020,29,89,21,5,1,1,5,15.7,5.6,".341",".463",".393","0.856","0.122",".403","0","0",".373"
"Jankowski, Travis",608671,2021,30,157,24,6,2,1,22,18.5,14,".252",".351",".364","0.715","0.099",".317","4","0",".312"
"Mendick, Danny",664901,2020,26,114,18,4,1,3,6,21.9,5.3,".243",".383",".281","0.664","0.140",".287","0","1",".285"
"Alcantara, Sandy",645261,2021,25,64,1,1,0,0,3,70.3,4.7,".034",".052",".097","0.149","0.018",".154","0","0",".079"
"León, Sandy",506702,2022,33,86,9,3,0,0,13,31.4,15.1,".169",".211",".298","0.509","0.042",".273","0","0",".246"
"Arenado, Nolan",571448,2020,29,201,29,9,0,8,15,10,7.5,".253",".434",".303","0.737","0.181",".241","3","4",".308"
"Barnhart, Tucker",571466,2020,29,110,12,3,0,5,12,25.5,10.9,".204",".388",".291","0.679","0.184",".231","0","0",".296"
"Rosario, Amed",642708,2021,25,588,113,25,6,11,31,20.4,5.3,".282",".409",".321","0.730","0.127",".340","0","4",".315"
"Torrens, Luis",620443,2022,26,166,29,2,0,3,12,30.1,7.2,".225",".298",".283","0.581","0.073",".310","0","2",".261"
"Bouchard, Sean",656248,2022,26,97,13,6,0,3,21,25.8,21.6,".297",".500",".454","0.954","0.203",".404","0","1",".417"
"La Stella, Tommy",600303,2022,33,195,27,14,0,2,11,15.4,5.6,".239",".350",".282","0.632","0.111",".272","0","3",".277"
"Pederson, Joc",592626,2020,28,138,12,4,0,7,11,24.6,8,".190",".397",".285","0.682","0.207",".200","0","0",".297"
"Biggio, Cavan",624415,2020,25,265,31,16,0,8,41,23,15.5,".250",".432",".375","0.807","0.182",".311","0","0",".355"
"Iglesias, Jose",578428,2022,32,467,95,30,0,3,17,12,3.6,".292",".380",".328","0.708","0.088",".326","0","3",".312"
"Aranda, Jonathan",666018,2022,24,87,9,4,0,2,8,26.4,9.2,".192",".321",".276","0.597","0.129",".245","1","0",".264"
"Rojas, Jose",670351,2022,29,57,5,2,0,0,0,33.3,0,".125",".161",".140","0.301","0.036",".189","0","0",".134"
"Burdick, Peyton",680814,2022,25,102,11,4,0,4,8,34.3,7.8,".207",".380",".284","0.664","0.173",".283","0","0",".294"
"Wallner, Matt",670242,2022,24,65,8,3,0,2,6,38.5,9.2,".228",".386",".323","0.709","0.158",".367","1","0",".311"
"García, Adolis",666969,2021,28,622,82,26,2,31,32,31.2,5.1,".243",".454",".286","0.740","0.211",".306","0","4",".314"
"Miley, Wade",489119,2021,34,59,7,3,0,0,3,22,5.1,".185",".241",".228","0.469","0.056",".244","0","0",".210"
"Turner, Trea",607208,2021,28,646,130,34,3,28,41,17,6.3,".328",".536",".375","0.911","0.208",".362","2","4",".386"
"Belt, Brandon",474832,2020,32,179,23,13,1,9,30,20.1,16.8,".309",".591",".425","1.016","0.282",".356","1","0",".427"
"Guillorme, Luis",641645,2020,25,68,13,6,0,0,10,25,14.7,".333",".439",".426","0.865","0.106",".463","0","1",".381"
"Viloria, Meibrys",650619,2022,25,75,7,1,0,2,11,38.7,14.7,".159",".270",".280","0.550","0.111",".242","0","1",".256"
"Ward, Taylor",621493,2020,26,102,18,6,2,0,8,27.5,7.8,".277",".383",".333","0.716","0.106",".394","0","0",".314"
"Giménez, Andrés",665926,2022,23,557,100,26,3,17,34,20.1,6.1,".297",".466",".371","0.837","0.169",".353","4","3",".364"
"Moncada, Yoán",660162,2021,26,616,89,33,1,14,84,25.5,13.6,".263",".412",".375","0.787","0.149",".350","1","2",".347"
"Arcia, Orlando",606115,2022,27,234,33,9,0,9,21,21.8,9,".244",".416",".316","0.732","0.172",".278","0","2",".321"
"Flores, Wilmer",527038,2022,30,602,72,28,1,19,59,17.1,9.8,".229",".394",".316","0.710","0.165",".246","1","7",".312"
"Quinn, Roman",596451,2022,29,87,12,3,2,0,7,41.4,8,".215",".304",".287","0.591","0.089",".395","0","0",".266"
"Ramos, Wilson",467092,2020,32,155,23,6,0,5,10,20,6.5,".239",".387",".297","0.684","0.148",".271","0","1",".297"
"Mullins II, Cedric",656775,2022,27,672,105,32,4,16,47,18.8,7,".258",".403",".318","0.721","0.145",".299","2","5",".315"
"Rengifo, Luis",650859,2021,24,190,28,1,0,6,9,20,4.7,".201",".310",".246","0.556","0.109",".220","0","2",".244"
"Alfaro, Jorge",595751,2022,29,274,42,14,0,7,11,35.8,4,".246",".383",".285","0.668","0.137",".364","0","3",".291"
"Clement, Ernie",676391,2022,26,179,26,4,0,0,11,14.5,6.1,".184",".209",".243","0.452","0.025",".217","0","1",".209"
"Azocar, José",640492,2022,26,216,40,9,3,0,12,20.4,5.6,".257",".332",".298","0.630","0.075",".327","0","1",".278"
"Harper, Bryce",547180,2020,27,244,27,9,2,13,49,17.6,20.1,".268",".542",".420","0.962","0.274",".279","8","2",".400"
"Hiura, Keston",669374,2020,23,246,29,4,0,13,16,34.6,6.5,".212",".410",".297","0.707","0.198",".273","2","2",".304"
"Rojas, Jose",670351,2021,28,184,15,14,0,6,15,27.2,8.2,".208",".399",".277","0.676","0.191",".259","0","0",".292"
"Daza, Yonathan",602074,2022,28,408,87,21,2,2,26,14.2,6.4,".301",".384",".349","0.733","0.083",".347","0","5",".323"
"France, Ty",664034,2021,26,650,115,32,1,18,46,16.3,7.1,".291",".445",".368","0.813","0.154",".327","1","6",".353"
"Jackson, Alex",656577,2021,25,151,11,4,0,3,13,48.3,8.6,".137",".237",".252","0.489","0.100",".273","1","0",".227"
"Barrero, José",676480,2022,24,174,20,3,0,2,9,43.7,5.2,".152",".206",".195","0.401","0.054",".264","0","0",".183"
"Davis, J.D.",605204,2022,29,365,50,16,1,12,39,33.4,10.7,".248",".418",".340","0.758","0.170",".360","1","2",".333"
"Bryant, Kris",592178,2022,30,181,32,12,0,5,17,14.9,9.4,".306",".475",".376","0.851","0.169",".338","0","2",".370"
"Reddick, Josh",502210,2021,34,158,26,11,0,2,6,19.6,3.8,".258",".371",".285","0.656","0.113",".311","0","1",".283"
"Schwarber, Kyle",656941,2020,27,224,19,6,0,11,30,29.5,13.4,".188",".393",".308","0.701","0.205",".219","1","0",".307"
"Hernández, Enrique",571771,2021,29,585,69,35,3,20,61,18.8,10.4,".250",".449",".337","0.786","0.199",".278","0","7",".338"
"Soler, Jorge",624585,2022,30,306,30,13,0,13,31,29.4,10.1,".207",".400",".295","0.695","0.193",".256","1","1",".305"
"Taylor, Michael A.",572191,2020,29,99,7,6,0,5,6,27.3,6.1,".196",".424",".253","0.677","0.228",".217","0","0",".287"
"Pederson, Joc",592626,2021,29,481,62,19,3,18,39,24.3,8.1,".238",".422",".310","0.732","0.184",".281","0","5",".315"
"Guerrero Jr., Vladimir",665489,2021,22,698,110,29,1,48,86,15.8,12.3,".311",".601",".401","1.002","0.290",".313","7","2",".419"
"Franco, Wander",677551,2021,20,308,51,18,5,7,24,12,7.8,".288",".463",".347","0.810","0.175",".311","0","1",".348"
"Davis, J.D.",605204,2021,28,211,34,12,0,5,24,32.2,11.4,".285",".436",".384","0.820","0.151",".426","1","2",".357"
"McKinstry, Zach",656716,2022,27,185,19,6,3,5,16,28.1,8.6,".199",".361",".273","0.634","0.162",".257","0","0",".280"
"Myers, Wil",571976,2020,29,218,26,14,2,15,18,25.7,8.3,".288",".606",".353","0.959","0.318",".331","0","0",".400"
"Springer III, George",543807,2022,32,583,86,22,4,25,54,17.2,9.3,".267",".472",".342","0.814","0.205",".285","1","5",".352"
"Markakis, Nick",455976,2020,36,141,17,15,0,1,10,16.3,7.1,".254",".392",".312","0.704","0.138",".302","0","0",".307"
"Arraez, Luis",650333,2021,24,479,101,17,6,2,43,10,9,".294",".376",".357","0.733","0.082",".323","2","6",".321"
"Williams, Luke",663897,2021,24,108,19,4,0,1,10,21.3,9.3,".245",".316",".315","0.631","0.071",".311","0","0",".283"
"Sanó, Miguel",593934,2020,27,205,13,12,0,13,18,43.9,8.8,".204",".478",".278","0.756","0.274",".301","1","0",".317"
"Naylor, Josh",647304,2022,25,498,67,28,0,20,38,16.1,7.6,".256",".452",".319","0.771","0.196",".268","4","5",".331"
"Moustakas, Mike",519058,2021,32,206,20,12,0,6,18,22.3,8.7,".208",".372",".282","0.654","0.164",".239","0","3",".284"
"Wendle, Joey",621563,2020,30,184,33,9,2,4,10,19,5.4,".286",".435",".342","0.777","0.149",".338","1","1",".335"
"Delay, Jason",641511,2022,27,167,26,6,0,1,9,29.9,5.4,".213",".271",".265","0.536","0.058",".308","0","0",".243"
"Lowe, Nathaniel",663993,2021,25,642,102,24,3,18,80,25.2,12.5,".264",".415",".357","0.772","0.151",".339","2","3",".337"
"Bellinger, Cody",641355,2022,26,550,57,27,3,19,38,27.3,6.9,".210",".389",".265","0.654","0.179",".255","0","6",".284"
"Simmons, Andrelton",592743,2020,30,127,28,7,0,0,8,12.6,6.3,".297",".356",".346","0.702","0.059",".343","0","0",".313"
"Carlson, Dylan",666185,2022,23,488,60,30,4,8,45,19.3,9.2,".236",".380",".316","0.696","0.144",".281","1","4",".306"
"Wade, Tyler",642180,2022,27,163,26,5,0,1,10,20.2,6.1,".218",".272",".272","0.544","0.054",".274","0","0",".247"
"García, Luis",671277,2020,20,139,29,6,0,2,5,20.9,3.6,".276",".366",".302","0.668","0.090",".340","0","0",".291"
"Mondesi, Adalberto",609275,2022,26,54,7,0,0,0,4,37,7.4,".140",".140",".204","0.344","0.000",".233","0","0",".166"
"Hermosillo, Michael",641684,2022,27,73,5,2,0,0,7,37,9.6,".115",".148",".250","0.398","0.033",".206","0","0",".203"
"Iglesias, Jose",578428,2020,30,150,33,17,0,3,3,11.3,2,".373",".556",".400","0.956","0.183",".407","0","1",".407"
"Hechavarría, Adeiny",588751,2020,31,63,12,3,0,0,4,19,6.3,".254",".305",".302","0.607","0.051",".319","0","0",".271"
"Ohtani, Shohei",660271,2021,26,639,58,26,8,46,96,29.6,15,".257",".592",".372","0.964","0.335",".303","20","2",".393"
"Pozo, Yohel",650968,2021,24,77,16,4,0,1,3,13,3.9,".284",".378",".312","0.690","0.094",".317","0","0",".300"
"Straw, Myles",664702,2021,26,638,119,29,1,4,67,19,10.5,".271",".348",".349","0.697","0.077",".336","0","4",".311"
"García, Avisaíl",541645,2021,30,515,74,18,0,29,38,23.5,7.4,".262",".490",".330","0.820","0.228",".291","5","5",".346"
"Peralta, David",444482,2021,33,538,80,30,8,8,46,17.1,8.6,".259",".402",".325","0.727","0.143",".303","3","2",".314"
"Longoria, Evan",446334,2021,35,291,36,17,0,13,35,23.4,12,".261",".482",".351","0.833","0.221",".305","4","2",".352"
"Torres, Gleyber",650402,2020,23,160,22,8,0,3,22,17.5,13.8,".243",".368",".356","0.724","0.125",".286","0","0",".326"
"Hosmer, Eric",543333,2020,30,156,26,6,0,9,9,17.9,5.8,".287",".517",".333","0.850","0.230",".296","0","2",".359"
"Heineman, Tyler",623168,2020,29,50,7,1,0,0,4,12,8,".190",".214",".292","0.506","0.024",".222","0","0",".243"
"Cronenworth, Jake",630105,2022,28,684,89,30,4,17,70,19.2,10.2,".239",".390",".332","0.722","0.151",".275","3","8",".318"
"Lowe, Nathaniel",663993,2022,26,645,123,26,3,27,48,22.8,7.4,".302",".492",".358","0.850","0.190",".363","2","0",".368"
"Barrera, Tres",668663,2022,27,53,8,1,0,0,2,30.2,3.8,".180",".200",".212","0.412","0.020",".265","0","0",".187"
"Nevin, Tyler",663527,2022,25,184,25,4,0,2,20,25,10.9,".197",".261",".299","0.560","0.064",".259","0","3",".261"
"Fletcher, David",664058,2022,28,228,43,9,1,2,7,7,3.1,".255",".333",".288","0.621","0.078",".268","0","0",".275"
"Cabrera, Asdrúbal",452678,2021,35,352,43,21,0,7,36,22.7,10.2,".230",".366",".313","0.679","0.136",".283","1","4",".297"
"Isbel, Kyle",664728,2021,24,83,13,5,2,1,7,27.7,8.4,".276",".434",".337","0.771","0.158",".385","0","0",".333"
"Cameron, Daz",663662,2022,25,70,9,3,1,1,5,28.6,7.1,".219",".344",".286","0.630","0.125",".302","0","0",".280"
"Grichuk, Randal",545341,2022,30,538,88,21,3,19,24,23.6,4.5,".259",".425",".299","0.724","0.166",".309","0","2",".315"
"Sogard, Eric",519299,2020,34,128,18,5,0,1,11,15.6,8.6,".209",".278",".281","0.559","0.069",".242","0","1",".254"
"Kepler, Max",596146,2022,29,446,60,18,1,9,49,14.8,11,".227",".348",".318","0.666","0.121",".249","1","4",".298"
"Fuentes, Joshua",658069,2021,28,284,42,11,1,7,12,22.9,4.2,".225",".351",".257","0.608","0.126",".270","1","1",".261"
"Gutiérrez, Kelvin",642721,2021,26,295,49,8,3,3,19,25.8,6.4,".232",".316",".292","0.608","0.084",".311","0","0",".270"
